iter	Passed	Remaining
0	6	13820
1	13	13015
2	19	12762
3	23	11719
4	27	10846
5	31	10409
6	35	10081
7	39	9781
8	43	9611
9	47	9487
10	51	9401
11	55	9268
12	59	9164
13	64	9110
14	68	9041
15	72	8931
16	76	8871
17	80	8830
18	84	8764
19	88	8728
20	92	8719
21	96	8686
22	100	8647
23	104	8617
24	108	8598
25	112	8578
26	117	8559
27	121	8535
28	125	8516
29	129	8495
30	133	8468
31	137	8459
32	141	8442
33	145	8422
34	149	8393
35	153	8370
36	157	8337
37	160	8308
38	164	8290
39	168	8262
40	172	8234
41	176	8206
42	179	8186
43	183	8170
44	187	8147
45	191	8125
46	195	8107
47	198	8089
48	202	8068
49	206	8047
50	210	8039
51	214	8027
52	218	8010
53	221	7993
54	225	7992
55	230	7995
56	234	8002
57	238	7991
58	243	7995
59	246	7985
60	250	7971
61	254	7952
62	258	7945
63	262	7931
64	266	7919
65	269	7907
66	274	7905
67	278	7900
68	282	7892
69	286	7894
70	290	7887
71	294	7876
72	297	7862
73	303	7888
74	307	7889
75	311	7876
76	315	7867
77	318	7857
78	322	7848
79	326	7845
80	330	7835
81	335	7836
82	338	7826
83	342	7818
84	346	7812
85	350	7808
86	354	7800
87	358	7793
88	362	7787
89	366	7778
90	370	7769
91	374	7764
92	378	7757
93	382	7750
94	386	7740
95	389	7734
96	394	7732
97	397	7724
98	401	7718
99	405	7710
100	409	7702
101	413	7697
102	417	7689
103	421	7681
104	426	7699
105	430	7692
106	434	7688
107	438	7682
108	442	7675
109	446	7667
110	450	7661
111	454	7660
112	458	7659
113	462	7652
114	466	7644
115	470	7640
116	474	7634
117	478	7630
118	482	7622
119	486	7620
120	490	7616
121	494	7611
122	498	7606
123	502	7599
124	506	7595
125	510	7595
126	516	7619
127	520	7613
128	524	7613
129	529	7610
130	533	7605
131	536	7598
132	541	7599
133	545	7598
134	549	7596
135	553	7589
136	557	7586
137	562	7589
138	566	7587
139	570	7582
140	574	7580
141	579	7576
142	583	7573
143	587	7566
144	591	7563
145	595	7560
146	599	7557
147	603	7555
148	608	7553
149	612	7552
150	616	7547
151	620	7542
152	624	7540
153	628	7536
154	633	7535
155	637	7540
156	641	7532
157	645	7528
158	649	7525
159	653	7519
160	657	7514
161	662	7512
162	666	7514
163	671	7516
164	675	7512
165	679	7506
166	683	7500
167	687	7494
168	691	7488
169	695	7484
170	699	7483
171	703	7479
172	707	7473
173	711	7467
174	716	7469
175	719	7461
176	724	7457
177	728	7455
178	732	7449
179	736	7443
180	740	7437
181	744	7432
182	748	7427
183	751	7420
184	755	7413
185	760	7412
186	764	7407
187	768	7405
188	772	7401
189	776	7396
190	780	7390
191	784	7383
192	788	7380
193	792	7374
194	796	7368
195	799	7362
196	803	7356
197	807	7351
198	811	7346
199	815	7340
200	819	7337
201	823	7332
202	827	7327
203	831	7321
204	835	7316
205	839	7311
206	843	7307
207	847	7303
208	851	7298
209	856	7303
210	862	7315
211	868	7326
212	873	7325
213	877	7322
214	881	7317
215	885	7316
216	889	7310
217	893	7305
218	897	7299
219	901	7294
220	905	7289
221	909	7285
222	913	7280
223	917	7273
224	921	7268
225	925	7263
226	929	7259
227	933	7256
228	938	7254
229	941	7248
230	945	7244
231	949	7239
232	953	7233
233	957	7227
234	961	7221
235	965	7216
236	970	7215
237	973	7210
238	977	7204
239	982	7206
240	987	7204
241	991	7202
242	995	7197
243	999	7194
244	1003	7190
245	1007	7184
246	1011	7178
247	1015	7174
248	1019	7170
249	1023	7165
250	1027	7160
251	1032	7158
252	1036	7153
253	1039	7147
254	1043	7143
255	1047	7138
256	1051	7134
257	1055	7128
258	1060	7125
259	1064	7121
260	1068	7116
261	1072	7112
262	1076	7108
263	1080	7104
264	1084	7099
265	1088	7094
266	1092	7091
267	1096	7085
268	1100	7080
269	1104	7076
270	1108	7072
271	1112	7069
272	1116	7064
273	1120	7060
274	1124	7055
275	1128	7049
276	1132	7044
277	1136	7040
278	1141	7038
279	1144	7032
280	1148	7026
281	1152	7024
282	1157	7020
283	1161	7015
284	1164	7010
285	1168	7005
286	1173	7004
287	1177	7000
288	1181	6997
289	1185	6992
290	1189	6986
291	1193	6981
292	1197	6975
293	1201	6971
294	1205	6965
295	1209	6960
296	1213	6957
297	1217	6953
298	1221	6948
299	1225	6942
300	1228	6937
